Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
019210,와이지-원,기타 금속 가공제품 제조업,26700,786647347200,2078.0,388.4,5.52,16.9,1.71,0.5336,"FCF 적자, CB/BW 및 유상증자 이력"
041830,인바디,의료용 기기 제조업,58200,683480717400,684.4,130.2,4.93,17.17,2.07,0.552,정상
000500,가온전선,절연선 및 케이블 제조업,283000,2875193387000,7636.0,278.0,11.96,93.0,10.35,3.4703,정상
004170,신세계,종합 소매업,690000,4949274844000,18471.4,1978.2,2.14,66.86,0.99,0.6465,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",244500,2837256538500,1506.7,419.9,7.74,39.69,6.71,0.6466,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
005930,삼성전자,통신 및 방송 장비 제조업,318000,1420645701744000,1338734.4,572328.0,9.7,19.72,3.39,0.0462,정상
069960,현대백화점,종합 소매업,176500,2952236452800,9500.6,987.8,1.03,14.84,0.64,0.7907,FCF 적자
170920,엘티씨,기초 화학물질 제조업,49150,552503789800,988.4,181.0,7.13,51.09,3.9,0.2184,CB/BW 및 유상증자 이력
023530,롯데쇼핑,종합 소매업,172900,3561554254500,35816.0,2528.8,0.84,21.88,0.23,0.0888,정상
002990,금호건설,건물 건설업,12350,393837925180,4534.0,121.2,4.64,5.5,1.65,1.0197,CB/BW 및 유상증자 이력
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",98800,1872953330600,1561.0,348.1,5.71,25.04,3.33,0.681,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
028260,삼성물산,기타 전문 도매업,449500,51082788015000,104658.2,7203.6,1.55,21.29,0.83,0.0684,정상
222040,코스맥스엔비티,기타 식품 제조업,7280,162961200000,933.0,102.7,15.02,-21.38,2.67,0.2921,정상
089970,브이엠,특수 목적용 기계 제조업,97300,2422062380000,888.9,301.4,12.54,47.79,11.84,0.9006,CB/BW 및 유상증자 이력
319660,피에스케이,특수 목적용 기계 제조업,170800,4996758165000,1565.9,471.8,7.24,49.67,8.73,0.6261,정상
009150,삼성전기,전자부품 제조업,1828000,95832011968000,32091.1,2805.7,2.5,120.43,9.81,2.4279,정상
000660,SK하이닉스,반도체 제조업,2343000,1267897507335000,525762.9,376102.8,24.54,17.04,7.61,0.9857,정상
005950,이수화학,기초 화학물질 제조업,13300,320525920110,6358.6,254.3,5.32,-81.94,2.75,0.133,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
219130,타이거일렉,전자부품 제조업,62500,519666067000,268.0,35.0,12.73,68.59,8.2,0.5287,DART 데이터 미비
032830,삼성생명,보험업,393500,59700000000000,147194.0,13578.1,1.49,21.0,0.67,0.2004,정상
159010,아스플로,일반 목적용 기계 제조업,17920,205888370160,283.0,13.8,2.42,-10.32,4.04,1.5444,정상
034730,SK,기타 금융업,667000,41834059631000,367512.6,36731.2,9.29,16.09,1.08,0.5623,FCF 적자
122640,예스티,특수 목적용 기계 제조업,30250,550820757000,275.0,30.6,2.28,585.23,3.95,0.0059,CB/BW 및 유상증자 이력
402340,SK스퀘어,기타 금융업,1495000,156898520954000,3003.5,82782.9,55.09,9.99,4.3,1.4239,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
144960,뉴파워프라즈마,특수 목적용 기계 제조업,8800,402845993280,1485.1,135.5,3.45,23.84,1.26,0.1568,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
222800,심텍,전자부품 제조업,118500,3720168348300,4224.0,137.1,2.42,-14.35,6.23,0.4745,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
095610,테스,특수 목적용 기계 제조업,160400,3279584000000,972.4,222.0,5.99,51.08,7.39,0.9984,CB/BW 및 유상증자 이력
