Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8860,216152617880,321.0,95.0,21.48,5.32,1.07,0.0229,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",269500,2981055115500,1507.0,420.0,18.82,41.38,7.0,0.8791,
002990,금호건설,건물 건설업,16820,626712762680,4534.0,121.0,31.92,8.53,2.55,1.9192,
222040,코스맥스엔비티,기타 식품 제조업,8170,168530760000,933.0,103.0,-6.22,-21.38,2.76,0.4993,
219130,타이거일렉,전자부품 제조업,72300,456523167000,268.0,35.0,12.73,62.38,7.46,0.595,
005430,한국공항,기타 운송관련 서비스업,81700,258691203500,1780.0,197.0,11.29,5.75,0.6,0.0314,
319660,피에스케이,특수 목적용 기계 제조업,189400,5486295631600,1566.0,472.0,19.04,55.07,9.68,0.8986,
000810,삼성화재,보험업,648000,28931562504000,66763.0,8611.0,,15.6,1.14,0.002,
170920,엘티씨,기초 화학물질 제조업,50300,531375537800,988.0,181.0,8.29,49.8,3.8,0.3772,
089970,브이엠,특수 목적용 기계 제조업,103400,2561424283000,889.0,301.0,30.38,53.13,13.16,0.8681,
041830,인바디,의료용 기기 제조업,52500,707746305000,684.0,130.0,13.29,17.71,2.13,0.4164,
019210,와이지-원,기타 금속 가공제품 제조업,22500,836858880000,2078.0,388.0,10.85,17.86,1.81,0.2581,
095610,테스,특수 목적용 기계 제조업,177700,3440272000000,972.0,222.0,17.58,53.14,7.69,0.7763,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",97400,1928389581400,1561.0,348.0,,26.11,3.47,0.5189,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9560,417701485440,1485.0,135.0,5.96,24.45,1.29,0.347,
000500,가온전선,절연선 및 케이블 제조업,254500,4210222767500,7636.0,278.0,11.96,135.95,15.12,3.1046,
005950,이수화학,기초 화학물질 제조업,13550,356285989950,6359.0,254.0,-2.28,-81.94,3.06,0.3342,
004170,신세계,종합 소매업,629000,5941018849000,18471.0,1978.0,1.71,79.2,1.15,0.4614,
069960,현대백화점,종합 소매업,167100,3603496795200,9501.0,988.0,4.62,18.18,0.78,0.7164,
222800,심텍,전자부품 제조업,122700,4596824333700,4224.0,137.0,-22.7,-14.35,7.68,0.4755,
034730,SK,기타 금융업,657000,47634275871000,367513.0,36731.0,9.29,18.26,1.22,0.5074,
212560,네오오토,자동차 신품 부품 제조업,11790,159004042920,604.0,37.0,11.69,8.97,1.0,0.1789,
