Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
170920,엘티씨,기초 화학물질 제조업,54100,531375537800,988.0,181.0,8.29,49.8,3.8,0.3024,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",108600,1928389581400,1561.0,348.0,,26.11,3.47,0.9084,
004170,신세계,종합 소매업,706000,5941018849000,18471.0,1978.0,1.71,79.2,1.15,0.5798,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",251000,2981055115500,1507.0,420.0,18.82,41.38,7.0,0.7345,
000500,가온전선,절연선 및 케이블 제조업,277500,4210222767500,7636.0,278.0,11.96,135.95,15.12,3.3468,
009150,삼성전기,전자부품 제조업,1989000,118314814464000,32091.0,2806.0,8.82,149.62,12.19,2.7026,
041830,인바디,의료용 기기 제조업,54000,707746305000,684.0,130.0,13.29,17.71,2.13,0.3329,
069960,현대백화점,종합 소매업,179400,3603496795200,9501.0,988.0,4.62,18.18,0.78,0.758,
319660,피에스케이,특수 목적용 기계 제조업,182300,5486295631600,1566.0,472.0,19.04,55.07,9.68,0.8056,
122640,예스티,특수 목적용 기계 제조업,34300,679954842000,275.0,31.0,0.72,715.91,4.83,0.2395,
005930,삼성전자,통신 및 방송 장비 제조업,309500,1666189403280000,1338734.0,572328.0,19.16,23.04,3.96,0.0002,
089970,브이엠,특수 목적용 기계 제조업,101900,2561424283000,889.0,301.0,30.38,53.13,13.16,0.9481,
219130,타이거일렉,전자부품 제조업,67000,456523167000,268.0,35.0,12.73,62.38,7.46,0.8162,
005950,이수화학,기초 화학물질 제조업,14120,356285989950,6359.0,254.0,-2.28,-81.94,3.06,0.1962,
159010,아스플로,일반 목적용 기계 제조업,19050,202154643240,283.0,14.0,-13.21,-10.32,3.96,1.7992,
095610,테스,특수 목적용 기계 제조업,177300,3440272000000,972.0,222.0,17.58,53.14,7.69,1.2571,
000660,SK하이닉스,반도체 제조업,2425000,1553691155700000,525763.0,376103.0,61.16,21.06,9.17,1.1345,
222800,심텍,전자부품 제조업,129100,4596824333700,4224.0,137.0,-22.7,-14.35,7.68,0.7662,
028260,삼성물산,기타 전문 도매업,433500,63488607961500,104658.0,7204.0,5.41,26.25,1.03,0.006,
402340,SK스퀘어,기타 금융업,1589000,185929365874000,86314.0,82783.0,55.09,11.97,5.15,1.6603,
034730,SK,기타 금융업,690000,47634275871000,367513.0,36731.0,9.29,18.26,1.22,0.5949,
032830,삼성생명,보험업,383000,68100000000000,147194.0,13578.0,5.44,23.72,0.75,0.0921,
222040,코스맥스엔비티,기타 식품 제조업,6620,168530760000,933.0,103.0,-6.22,-21.38,2.76,0.0927,
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",45700,212542069000,207.0,49.0,13.52,11.59,1.45,1.9539,
