Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
170920,엘티씨,기초 화학물질 제조업,54100,571519216600,988.4,181.0,7.13,53.56,4.09,0.3024,CB/BW 및 유상증자 이력
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",108600,2140235254100,1561.0,348.1,5.71,29.12,3.87,0.9084,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
004170,신세계,종합 소매업,706000,6668297786000,18471.4,1978.2,2.14,88.89,1.29,0.5798,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",251000,2842787253000,1506.7,419.9,7.74,38.54,6.52,0.7345,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
000500,가온전선,절연선 및 케이블 제조업,277500,4383925475000,7636.0,278.0,11.96,148.24,16.49,3.3468,정상
009150,삼성전기,전자부품 제조업,1989000,143187815232000,32091.1,2805.7,2.5,187.87,15.31,2.7026,정상
041830,인바디,의료용 기기 제조업,54000,734708069000,684.4,130.2,4.93,18.21,2.19,0.3329,정상
069960,현대백화점,종합 소매업,179400,3845023809600,9500.6,987.8,1.03,19.52,0.84,0.758,FCF 적자
319660,피에스케이,특수 목적용 기계 제조업,182300,5208215177200,1565.9,471.8,7.24,53.01,9.31,0.8056,정상
122640,예스티,특수 목적용 기계 제조업,34300,732840218600,275.0,30.6,2.28,779.55,5.26,0.2395,CB/BW 및 유상증자 이력
005930,삼성전자,통신 및 방송 장비 제조업,309500,1809423229176000,1338734.4,572328.0,9.7,25.02,4.3,0.0002,정상
089970,브이엠,특수 목적용 기계 제조업,101900,2524266290500,888.9,301.4,12.54,52.36,12.97,0.9481,CB/BW 및 유상증자 이력
219130,타이거일렉,전자부품 제조업,67000,414848853000,268.0,35.0,12.73,57.81,6.91,0.8162,DART 데이터 미비
005950,이수화학,기초 화학물질 제조업,14120,377847208530,6358.6,254.3,5.32,-81.94,3.19,0.1962,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
159010,아스플로,일반 목적용 기계 제조업,19050,255360251850,283.0,13.8,2.42,-10.32,4.98,1.7992,정상
095610,테스,특수 목적용 기계 제조업,177300,3413168000000,972.4,222.0,5.99,53.02,7.67,1.2571,CB/BW 및 유상증자 이력
000660,SK하이닉스,반도체 제조업,2425000,1706209461810000,525762.9,376102.8,24.54,23.43,10.2,1.1345,정상
222800,심텍,전자부품 제조업,129100,4829100705900,4224.0,137.1,2.42,-14.35,8.08,0.7662,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
028260,삼성물산,기타 전문 도매업,433500,70218562573000,104658.2,7203.6,1.55,29.07,1.14,0.006,정상
402340,SK스퀘어,기타 금융업,1589000,207042707634000,3003.5,82782.9,55.09,13.49,5.81,1.6603,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
034730,SK,기타 금융업,690000,49809356961000,367512.6,36731.2,9.29,19.18,1.28,0.5949,FCF 적자
032830,삼성생명,보험업,383000,76600000000000,147194.0,13578.1,1.49,26.68,0.85,0.0921,정상
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",45700,239777998800,207.0,48.9,4.6,12.68,1.59,1.9539,CB/BW 및 유상증자 이력
