Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
095610,테스,특수 목적용 기계 제조업,217500,4210800000000,972.0,222.0,17.58,65.04,9.41,1.2299,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",277000,3064015833000,1507.0,420.0,18.82,42.53,7.2,0.7722,
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8920,217616405360,321.0,95.0,21.48,5.35,1.08,0.2229,
319660,피에스케이,특수 목적용 기계 제조업,203500,5894726299000,1566.0,472.0,19.04,59.17,10.4,1.1206,
170920,엘티씨,기초 화학물질 제조업,55500,586308993000,988.0,181.0,8.29,54.95,4.2,0.6034,
089970,브이엠,특수 목적용 기계 제조업,114700,3019679945500,889.0,301.0,30.38,58.94,14.6,1.1099,
219130,타이거일렉,전자부품 제조업,75200,474834608000,268.0,35.0,12.73,64.88,7.76,0.9432,
222040,코스맥스엔비티,기타 식품 제조업,7940,163786320000,933.0,103.0,-6.22,-21.38,2.68,0.5648,
161890,한국콜마,기타 화학제품 제조업,106300,2509219685100,7280.0,789.0,18.19,15.98,2.68,0.0998,
001450,현대해상,보험업,37200,3171234900000,47161.0,3245.0,21.87,3.16,0.52,0.0518,
005430,한국공항,기타 운송관련 서비스업,79700,252358493500,1780.0,197.0,11.29,5.61,0.58,0.176,
000810,삼성화재,보험업,628000,28038613044000,66763.0,8611.0,,15.12,1.11,0.1081,
031980,피에스케이홀딩스,특수 목적용 기계 제조업,141000,3040297695000,280.0,92.0,20.41,31.63,5.96,0.0604,
041830,인바디,의료용 기기 제조업,52400,706398216800,684.0,130.0,13.29,17.67,2.13,0.5685,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9830,429498493920,1485.0,135.0,5.96,25.14,1.33,0.3787,
005950,이수화학,기초 화학물질 제조업,14000,368118366000,6359.0,254.0,-2.28,-81.94,3.16,0.5047,
037710,광주신세계,종합 소매업,44250,337502361000,487.0,157.0,5.51,7.55,0.39,0.0039,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",94000,1861074134000,1561.0,348.0,,25.2,3.35,0.5632,
002990,금호건설,건물 건설업,13570,505617847180,4534.0,121.0,31.92,6.88,2.06,1.3196,
019210,와이지-원,기타 금속 가공제품 제조업,20050,745734246400,2078.0,388.0,10.85,15.91,1.61,0.2667,
