Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
170920,엘티씨,기초 화학물질 제조업,54100,571519216600,988.0,181.0,8.29,53.56,4.09,0.3024,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",108600,2140235254100,1561.0,348.0,,29.12,3.87,0.9084,
004170,신세계,종합 소매업,706000,6668297786000,18471.0,1978.0,1.71,88.89,1.29,0.5798,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",251000,2842787253000,1507.0,420.0,18.82,38.54,6.52,0.7345,
000500,가온전선,절연선 및 케이블 제조업,277500,4383925475000,7636.0,278.0,11.96,148.24,16.49,3.3468,
009150,삼성전기,전자부품 제조업,1989000,143187815232000,32091.0,2806.0,8.82,187.87,15.31,2.7026,
041830,인바디,의료용 기기 제조업,54000,734708069000,684.0,130.0,13.29,18.21,2.19,0.3329,
069960,현대백화점,종합 소매업,179400,3845023809600,9501.0,988.0,4.62,19.52,0.84,0.758,
319660,피에스케이,특수 목적용 기계 제조업,182300,5208215177200,1566.0,472.0,19.04,53.01,9.31,0.8056,
122640,예스티,특수 목적용 기계 제조업,34300,732840218600,275.0,31.0,0.72,779.55,5.26,0.2395,
005930,삼성전자,통신 및 방송 장비 제조업,309500,1809423229176000,1338734.0,572328.0,19.16,25.02,4.3,0.0002,
089970,브이엠,특수 목적용 기계 제조업,101900,2524266290500,889.0,301.0,30.38,52.36,12.97,0.9481,
219130,타이거일렉,전자부품 제조업,67000,414848853000,268.0,35.0,12.73,57.81,6.91,0.8162,
005950,이수화학,기초 화학물질 제조업,14120,377847208530,6359.0,254.0,-2.28,-81.94,3.19,0.1962,
159010,아스플로,일반 목적용 기계 제조업,19050,255360251850,283.0,14.0,-13.21,-10.32,4.98,1.7992,
095610,테스,특수 목적용 기계 제조업,177300,3413168000000,972.0,222.0,17.58,53.02,7.67,1.2571,
000660,SK하이닉스,반도체 제조업,2425000,1706209461810000,525763.0,376103.0,61.16,23.43,10.2,1.1345,
222800,심텍,전자부품 제조업,129100,4829100705900,4224.0,137.0,-22.7,-14.35,8.08,0.7662,
028260,삼성물산,기타 전문 도매업,433500,70218562573000,104658.0,7204.0,5.41,29.07,1.14,0.006,
402340,SK스퀘어,기타 금융업,1589000,207042707634000,86314.0,82783.0,55.09,13.49,5.81,1.6603,
034730,SK,기타 금융업,690000,49809356961000,367513.0,36731.0,9.29,19.18,1.28,0.5949,
032830,삼성생명,보험업,383000,76600000000000,147194.0,13578.0,5.44,26.68,0.85,0.0921,
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",45700,239777998800,207.0,49.0,13.52,12.68,1.59,1.9539,
