Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M
000660,SK하이닉스,반도체 제조업,2764000,1905053421645000,525763.0,376103.0,61.16,25.82,11.24,1.1493
019210,와이지-원,기타 금속 가공제품 제조업,22600,656097361920,2078.0,388.0,10.85,14.0,1.42,0.1335
009150,삼성전기,전자부품 제조업,2270000,148864536128000,32091.0,2806.0,8.82,188.25,15.34,3.4968
034730,SK,기타 금융업,724000,59089702945000,367513.0,36731.0,9.29,22.65,1.52,0.3875
032830,삼성생명,보험업,497000,86500000000000,147194.0,13578.0,5.44,30.13,0.96,0.4719
052710,아모텍,전자부품 제조업,31984,299557193000,610.0,6.0,3.72,50.37,1.87,0.71
085620,미래에셋생명,보험업,34550,2798226000000,27964.0,684.0,6.52,25.52,0.94,0.368
402340,SK스퀘어,기타 금융업,1780000,226968423920000,86314.0,82783.0,55.09,14.61,6.29,1.3825
159010,아스플로,일반 목적용 기계 제조업,22300,254693514900,283.0,14.0,-13.21,-10.32,4.99,2.1976
005930,삼성전자,통신 및 방송 장비 제조업,354000,1984811587416000,1338734.0,572328.0,19.16,27.44,4.72,0.087
064290,인텍플러스,특수 목적용 기계 제조업,46250,547361583100,128.0,-19.0,0.57,2239.47,11.61,1.0613
080220,제주반도체,반도체 제조업,114300,3416729033600,1805.0,671.0,45.66,30.17,10.95,0.9679
319660,피에스케이,특수 목적용 기계 제조업,165000,5451535574800,1566.0,472.0,19.04,54.73,9.62,0.2391
420770,기가비스,특수 목적용 기계 제조업,139000,2113048858600,60.0,-10.0,,129.02,10.49,0.1501
069960,현대백화점,종합 소매업,194700,4323764856000,9501.0,988.0,4.62,21.81,0.94,0.5075
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",85300,1637349264700,1561.0,348.0,,22.17,2.95,0.0657
004170,신세계,종합 소매업,711000,6989433940000,18471.0,1978.0,1.71,93.18,1.35,0.4122
222800,심텍,전자부품 제조업,124300,4675498588800,4224.0,137.0,-22.7,-14.35,7.81,0.3752
095610,테스,특수 목적용 기계 제조업,166200,3548688000000,972.0,222.0,17.58,54.81,7.93,0.9522
089970,브이엠,특수 목적용 기계 제조업,88400,2665466662000,889.0,301.0,30.38,55.29,13.69,0.1846
001820,삼화콘덴서,전자부품 제조업,171500,1357587000000,729.0,47.0,5.01,99.24,4.86,1.3925
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",244000,2472229381500,1507.0,420.0,18.82,34.32,5.81,0.2564
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",42100,216869272800,207.0,49.0,13.52,11.82,1.48,1.3933
031330,에스에이엠티,기계장비 및 관련 물품 도매업,16480,1199940804000,17954.0,3273.0,53.44,3.92,1.62,1.4632
219130,타이거일렉,전자부품 제조업,68500,366228820000,268.0,35.0,12.73,50.04,5.98,0.3342
004710,한솔테크닉스,전자부품 제조업,13080,418890320270,3160.0,141.0,-4.67,-8.67,0.95,1.089
007810,코리아써키트,전자부품 제조업,119100,2187214944000,4199.0,264.0,16.92,35.05,5.12,0.1457
083450,GST,특수 목적용 기계 제조업,54500,869896000000,1159.0,202.0,19.24,15.83,2.73,0.1093
353200,대덕전자,전자부품 제조업,156300,6582334410000,3463.0,513.0,11.18,69.45,7.47,0.1603
036710,심텍홀딩스,회사 본부 및 경영 컨설팅 서비스업,4790,201537881510,4432.0,10.0,-193.37,-6.96,13.11,0.0151
036930,주성엔지니어링,특수 목적용 기계 제조업,193100,7697273637600,549.0,-70.0,1.16,1150.0,12.9,0.8876
037460,삼지전자,통신 및 방송 장비 제조업,42850,538511226000,19044.0,3342.0,38.27,2.77,0.78,0.1258
093370,후성,기초 화학물질 제조업,16940,1760059965300,1414.0,93.0,-1.38,-164.82,5.13,0.7381
183300,코미코,특수 목적용 기계 제조업,105200,1816205404000,1571.0,204.0,17.76,37.52,6.38,0.0344
040350,크레오에스지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",9010,156164256000,26.0,-8.0,-15.78,-9.22,3.35,0.6187
417840,저스템,특수 목적용 기계 제조업,14280,307364480640,177.0,41.0,11.44,44.65,4.74,0.2564
