Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
002990,금호건설,건물 건설업,8610,393837925180,4534.0,121.2,4.64,5.5,1.65,0.0531,CB/BW 및 유상증자 이력
041830,인바디,의료용 기기 제조업,52600,683480717400,684.4,130.2,4.93,17.17,2.07,0.0973,정상
089970,브이엠,특수 목적용 기계 제조업,106100,2422062380000,888.9,301.4,12.54,47.79,11.84,0.9296,CB/BW 및 유상증자 이력
095610,테스,특수 목적용 기계 제조업,179700,3279584000000,972.4,222.0,5.99,51.08,7.39,1.4352,CB/BW 및 유상증자 이력
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",46400,212542069000,207.0,48.9,4.6,11.59,1.45,1.8917,CB/BW 및 유상증자 이력
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",90900,1872953330600,1561.0,348.1,5.71,25.04,3.33,0.2621,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
004170,신세계,종합 소매업,729000,4949274844000,18471.4,1978.2,2.14,66.86,0.99,0.6175,정상
319660,피에스케이,특수 목적용 기계 제조업,177800,4996758165000,1565.9,471.8,7.24,49.67,8.73,0.428,정상
069960,현대백화점,종합 소매업,193700,2952236452800,9500.6,987.8,1.03,14.84,0.64,0.6372,FCF 적자
222800,심텍,전자부품 제조업,124300,3720168348300,4224.0,137.1,2.42,-14.35,6.23,0.8111,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
034730,SK,기타 금융업,785000,41834059631000,367512.6,36731.2,9.29,16.09,1.08,0.7995,FCF 적자
000660,SK하이닉스,반도체 제조업,2628000,1267897507335000,525762.9,376102.8,24.54,17.04,7.61,1.448,정상
009150,삼성전기,전자부품 제조업,2038000,95832011968000,32091.1,2805.7,2.5,120.43,9.81,3.1927,정상
005930,삼성전자,통신 및 방송 장비 제조업,323000,1420645701744000,1338734.4,572328.0,9.7,19.72,3.39,0.1233,정상
028260,삼성물산,기타 전문 도매업,471000,51082788015000,104658.2,7203.6,1.55,21.29,0.83,0.0495,정상
093370,후성,기초 화학물질 제조업,18700,1113310325400,1414.5,92.6,-1.77,-164.82,3.21,0.8553,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
402340,SK스퀘어,기타 금융업,1640000,156898520954000,3003.5,82782.9,55.09,9.99,4.3,1.707,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",224000,2837256538500,1506.7,419.9,7.74,39.69,6.71,0.3107,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
032830,삼성생명,보험업,408500,59700000000000,147194.0,13578.1,1.49,21.0,0.67,0.1321,정상
159010,아스플로,일반 목적용 기계 제조업,18540,205888370160,283.0,13.8,2.42,-10.32,4.04,1.683,정상
219130,타이거일렉,전자부품 제조업,59200,519666067000,268.0,35.0,12.73,68.59,8.2,0.364,DART 데이터 미비
