Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
010950,S-Oil,석유 정제품 제조업,144900,15491392179200,89427.0,12311.0,10.35,17.02,1.67,0.0767,
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,9230,232010315580,321.0,95.0,21.48,5.71,1.15,0.2068,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",282500,2289715803000,1507.0,420.0,18.82,31.78,5.38,0.5693,
161390,한국타이어앤테크놀로지,고무제품 제조업,73600,8733192364500,53139.0,5070.0,9.35,7.83,0.68,0.0784,
001540,안국약품,의약품 제조업,11660,168377642200,989.0,160.0,9.78,10.35,0.86,0.2582,
000810,삼성화재,보험업,701000,28797620085000,66763.0,8611.0,,15.53,1.14,0.3019,
219130,타이거일렉,전자부품 제조업,78400,457154596000,268.0,35.0,12.73,62.47,7.47,0.8752,
003650,미창석유,석유 정제품 제조업,143100,259211128000,1011.0,137.0,18.32,3.13,0.46,0.027,
005430,한국공항,기타 운송관련 서비스업,85700,284338679000,1780.0,197.0,11.29,6.32,0.66,0.3039,
170920,엘티씨,기초 화학물질 제조업,55000,375554679300,988.0,181.0,8.29,35.2,2.69,0.4242,
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",133400,651968000000,425.0,89.0,10.68,30.73,3.13,0.022,
001450,현대해상,보험업,38300,3350256225000,47161.0,3245.0,21.87,3.34,0.55,0.1013,
319660,피에스케이,특수 목적용 기계 제조업,195400,3429658937600,1566.0,472.0,19.04,34.43,6.05,1.1484,
383220,F&F,봉제의복 제조업,79000,2566574025000,5609.0,1535.0,28.82,5.0,1.27,0.0223,
161890,한국콜마,기타 화학제품 제조업,107600,2518661715900,7280.0,789.0,18.19,16.04,2.69,0.0811,
089970,브이엠,특수 목적용 기계 제조업,108300,1592769282500,889.0,301.0,30.38,31.09,7.7,0.807,
222040,코스맥스엔비티,기타 식품 제조업,7830,178019640000,933.0,103.0,-6.22,-21.38,2.91,0.597,
095610,테스,특수 목적용 기계 제조업,194300,2412256000000,972.0,222.0,17.58,37.26,5.39,1.0494,
252990,샘씨엔에스,전자부품 제조업,14570,862320170480,272.0,77.0,13.14,38.7,4.64,0.027,
041830,인바디,의료용 기기 제조업,54200,954446445600,684.0,130.0,13.29,23.88,2.87,0.6818,
019210,와이지-원,기타 금속 가공제품 제조업,23100,691431403520,2078.0,388.0,10.85,14.75,1.5,0.4546,
031980,피에스케이홀딩스,특수 목적용 기계 제조업,143400,2026865130000,280.0,92.0,20.41,21.09,3.97,0.0475,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",100800,1174060597300,1561.0,348.0,,15.9,2.12,0.691,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9350,462267961920,1485.0,135.0,5.96,27.06,1.43,0.3209,
160980,싸이맥스,특수 목적용 기계 제조업,37300,331550775050,405.0,47.0,7.22,24.86,1.71,0.0868,
005950,이수화학,기초 화학물질 제조업,12930,376006616700,6359.0,254.0,-2.28,-81.94,3.23,0.2623,
240810,원익IPS,특수 목적용 기계 제조업,140700,4334108458300,1649.0,107.0,11.92,39.12,4.37,0.0023,
069960,현대백화점,종합 소매업,157400,2195308041600,9501.0,988.0,4.62,11.07,0.48,0.5864,
