Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
095610,테스,특수 목적용 기계 제조업,217500,4210800000000,972.4,222.0,5.99,65.04,9.41,1.2299,CB/BW 및 유상증자 이력
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",277000,3064015833000,1506.7,419.9,7.74,42.53,7.2,0.7722,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8920,217616405360,321.5,94.7,6.53,5.35,1.08,0.2229,정상
319660,피에스케이,특수 목적용 기계 제조업,203500,5894726299000,1565.9,471.8,7.24,59.17,10.4,1.1206,정상
170920,엘티씨,기초 화학물질 제조업,55500,586308993000,988.4,181.0,7.13,54.95,4.2,0.6034,CB/BW 및 유상증자 이력
089970,브이엠,특수 목적용 기계 제조업,114700,3019679945500,888.9,301.4,12.54,58.94,14.6,1.1099,CB/BW 및 유상증자 이력
219130,타이거일렉,전자부품 제조업,75200,474834608000,268.0,35.0,12.73,64.88,7.76,0.9432,DART 데이터 미비
222040,코스맥스엔비티,기타 식품 제조업,7940,163786320000,933.0,102.7,15.02,-21.38,2.68,0.5648,정상
161890,한국콜마,기타 화학제품 제조업,106300,2509219685100,7280.4,788.9,3.53,15.98,2.68,0.0998,정상
001450,현대해상,보험업,37200,3171234900000,47161.0,3244.9,4.23,3.16,0.52,0.0518,FCF 적자
005430,한국공항,기타 운송관련 서비스업,79700,252358493500,1780.0,196.9,3.81,5.61,0.58,0.176,FCF 적자
000810,삼성화재,보험업,628000,28038613044000,66763.0,8611.3,2.63,15.12,1.11,0.1081,정상
031980,피에스케이홀딩스,특수 목적용 기계 제조업,141000,3040297695000,279.8,91.7,3.93,31.63,5.96,0.0604,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
041830,인바디,의료용 기기 제조업,52400,706398216800,684.4,130.2,4.93,17.67,2.13,0.5685,정상
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9830,429498493920,1485.1,135.5,3.45,25.14,1.33,0.3787,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
005950,이수화학,기초 화학물질 제조업,14000,368118366000,6358.6,254.3,5.32,-81.94,3.16,0.5047,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
037710,광주신세계,종합 소매업,44250,337502361000,487.0,157.0,5.51,7.55,0.39,0.0039,DART 데이터 미비
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",94000,1861074134000,1561.0,348.1,5.71,25.2,3.35,0.5632,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
002990,금호건설,건물 건설업,13570,505617847180,4534.0,121.2,4.64,6.88,2.06,1.3196,CB/BW 및 유상증자 이력
019210,와이지-원,기타 금속 가공제품 제조업,20050,745734246400,2078.0,388.4,5.52,15.91,1.61,0.2667,"FCF 적자, CB/BW 및 유상증자 이력"
