Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
005430,한국공항,기타 운송관련 서비스업,91800,290671389000,1780.0,197.0,11.29,6.46,0.67,0.5055,
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,9410,229570669780,321.0,95.0,21.48,5.65,1.14,0.3641,
340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업,65600,533196800000,451.0,183.0,19.98,13.79,2.56,0.2209,
002810,삼영무역,기타 전문 도매업,23350,431203235800,1094.0,45.0,10.29,7.11,0.67,0.2121,
417310,코람코더원리츠,부동산 임대 및 공급업,10750,434300000000,,,,,,0.1525,
089860,롯데렌탈,운송장비 임대업,39400,1430589887200,7309.0,836.0,8.54,11.09,0.92,0.2825,
078930,GS,기타 금융업,95000,8825072025000,68423.0,12586.0,9.0,6.83,0.59,0.294,
093190,빅솔론,컴퓨터 및 주변장치 제조업,8590,165262193950,375.0,56.0,12.17,7.11,0.62,0.1477,
079940,가비아,소프트웨어 개발 및 공급업,46500,624061806000,850.0,107.0,10.14,35.96,3.36,0.5439,
044820,코스맥스비티아이,기타 금융업,21900,210325869900,2052.0,164.0,15.94,4.93,0.72,0.0645,
003650,미창석유,석유 정제품 제조업,144000,250512768000,1011.0,137.0,18.32,3.03,0.44,0.2916,
003690,코리안리,재 보험업,13830,2444051858730,17737.0,2912.0,,6.1,0.64,0.2396,
055550,신한지주,기타 금융업,103600,48635044760400,148145.0,21545.0,8.81,9.88,0.83,0.1547,
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",140500,685640000000,425.0,89.0,10.68,32.31,3.29,0.383,
028670,팬오션,해상 운송업,5860,3132577340320,15089.0,1409.0,5.54,9.67,0.52,0.0775,
143240,사람인,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",16610,178270661910,283.0,43.0,43.85,2.03,0.66,0.088,
092230,KPX홀딩스,기초 화학물질 제조업,86000,363319556000,3110.0,133.0,11.0,3.14,0.3,0.0682,
086790,하나금융지주,기타 금융업,128600,35283692392800,290048.0,16536.0,9.2,8.86,0.76,0.1142,
017890,한국알콜,기타 화학제품 제조업,13480,278678860880,1090.0,107.0,6.31,8.59,0.5,0.1028,
105560,KB금융,기타 금융업,170700,60545196193800,306296.0,27276.0,10.25,10.79,1.02,0.1532,
041830,인바디,의료용 기기 제조업,56700,764366009400,684.0,130.0,13.29,19.12,2.3,0.5703,
001800,오리온홀딩스,기타 금융업,25850,1555049454200,10086.0,1729.0,5.53,12.03,0.62,0.1548,
317400,자이에스앤디,부동산 임대 및 공급업,7530,292032375600,2703.0,113.0,7.67,8.73,0.64,0.7471,
086670,비엠티,일반 목적용 기계 제조업,16180,160600819300,356.0,18.0,14.15,8.12,1.09,0.004,
007340,DN오토모티브,일차전지 및 이차전지 제조업,46400,2714904136000,10177.0,1446.0,14.85,9.3,1.12,0.0056,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,10490,458335625760,1485.0,135.0,5.96,26.83,1.42,0.5248,
222040,코스맥스엔비티,기타 식품 제조업,7770,160279560000,933.0,103.0,-6.22,-21.38,2.62,0.2419,
219130,타이거일렉,전자부품 제조업,73100,461574599000,268.0,35.0,12.73,63.07,7.54,0.2979,
483650,달바글로벌,기타 화학제품 제조업,232000,2898588280000,1712.0,451.0,,31.25,12.43,0.1919,
161890,한국콜마,기타 화학제품 제조업,102300,2414799377100,7280.0,789.0,18.19,15.38,2.58,0.1905,
049430,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",20000,180960000000,178.0,39.0,9.52,7.78,0.71,0.1164,
204610,티쓰리,소프트웨어 개발 및 공급업,3100,172239782000,221.0,58.0,19.22,10.4,1.69,0.037,
007070,GS리테일,종합 소매업,24800,2073463892000,28549.0,583.0,2.48,26.0,0.63,0.0588,
252990,샘씨엔에스,전자부품 제조업,13300,800897923700,272.0,77.0,13.14,35.95,4.31,0.0719,
010950,S-Oil,석유 정제품 제조업,122500,13791392020000,89427.0,12311.0,10.35,15.16,1.49,0.1464,
079550,LIG디펜스앤에어로스페이스,무기 및 총포탄 제조업,798000,17556000000000,11679.0,1711.0,22.46,56.46,11.55,0.0476,
