Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8860,216152617880,321.5,94.7,6.53,5.32,1.07,0.0229,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",269500,2981055115500,1506.7,419.9,7.74,41.38,7.0,0.8791,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
002990,금호건설,건물 건설업,16820,626712762680,4534.0,121.2,4.64,8.53,2.55,1.9192,CB/BW 및 유상증자 이력
222040,코스맥스엔비티,기타 식품 제조업,8170,168530760000,933.0,102.7,15.02,-21.38,2.76,0.4993,정상
219130,타이거일렉,전자부품 제조업,72300,456523167000,268.0,35.0,12.73,62.38,7.46,0.595,DART 데이터 미비
005430,한국공항,기타 운송관련 서비스업,81700,258691203500,1780.0,196.9,3.81,5.75,0.6,0.0314,FCF 적자
319660,피에스케이,특수 목적용 기계 제조업,189400,5486295631600,1565.9,471.8,7.24,55.07,9.68,0.8986,정상
000810,삼성화재,보험업,648000,28931562504000,66763.0,8611.3,2.63,15.6,1.14,0.002,정상
170920,엘티씨,기초 화학물질 제조업,50300,531375537800,988.4,181.0,7.13,49.8,3.8,0.3772,CB/BW 및 유상증자 이력
089970,브이엠,특수 목적용 기계 제조업,103400,2561424283000,888.9,301.4,12.54,53.13,13.16,0.8681,CB/BW 및 유상증자 이력
041830,인바디,의료용 기기 제조업,52500,707746305000,684.4,130.2,4.93,17.71,2.13,0.4164,정상
019210,와이지-원,기타 금속 가공제품 제조업,22500,836858880000,2078.0,388.4,5.52,17.86,1.81,0.2581,"FCF 적자, CB/BW 및 유상증자 이력"
095610,테스,특수 목적용 기계 제조업,177700,3440272000000,972.4,222.0,5.99,53.14,7.69,0.7763,CB/BW 및 유상증자 이력
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",97400,1928389581400,1561.0,348.1,5.71,26.11,3.47,0.5189,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9560,417701485440,1485.1,135.5,3.45,24.45,1.29,0.347,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
000500,가온전선,절연선 및 케이블 제조업,254500,4210222767500,7636.0,278.0,11.96,135.95,15.12,3.1046,정상
005950,이수화학,기초 화학물질 제조업,13550,356285989950,6358.6,254.3,5.32,-81.94,3.06,0.3342,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
004170,신세계,종합 소매업,629000,5941018849000,18471.4,1978.2,2.14,79.2,1.15,0.4614,정상
069960,현대백화점,종합 소매업,167100,3603496795200,9500.6,987.8,1.03,18.18,0.78,0.7164,FCF 적자
222800,심텍,전자부품 제조업,122700,4596824333700,4224.0,137.1,2.42,-14.35,7.68,0.4755,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
034730,SK,기타 금융업,657000,47634275871000,367512.6,36731.2,9.29,18.26,1.22,0.5074,FCF 적자
212560,네오오토,자동차 신품 부품 제조업,11790,159004042920,604.0,37.0,11.69,8.97,1.0,0.1789,DART 데이터 미비
