Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
093370,후성,기초 화학물질 제조업,22400,2005674671000,1414.5,92.6,-1.77,-164.82,5.84,1.5138,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
222800,심텍,전자부품 제조업,134100,4656766623300,4224.0,137.1,2.42,-14.35,7.78,0.7631,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
403870,HPSP,특수 목적용 기계 제조업,83500,4419510000000,319.0,161.0,30.51,54.46,14.9,0.2852,DART 데이터 미비
402340,SK스퀘어,기타 금융업,1413000,216411753040000,3003.5,82782.9,55.09,13.93,5.99,0.7968,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
330860,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",57700,453855676250,299.0,50.0,4.32,62.61,2.65,1.541,DART 데이터 미비
126640,화신정공,자동차 신품 부품 제조업,5260,160030229150,1213.0,122.0,15.48,8.92,1.24,1.7876,DART 데이터 미비
241770,메카로,반도체 제조업,47950,432677568000,255.0,41.1,6.7,32.09,2.03,0.0014,CB/BW 및 유상증자 이력
159010,아스플로,일반 목적용 기계 제조업,21750,247226061060,283.0,13.8,2.42,-10.32,4.85,2.7748,정상
004170,신세계,종합 소매업,705000,6885536949000,18471.4,1978.2,2.14,91.79,1.33,0.4361,정상
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",85800,1799698284900,1561.0,348.1,5.71,24.37,3.24,0.2133,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
007810,코리아써키트,전자부품 제조업,136800,2100877512000,4199.0,264.4,3.56,33.67,4.91,0.9954,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
069960,현대백화점,종합 소매업,183200,4177123454400,9500.6,987.8,1.03,21.07,0.91,0.493,FCF 적자
160980,싸이맥스,특수 목적용 기계 제조업,45450,358315170400,405.2,47.3,2.04,26.86,1.85,0.5285,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
