Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
319660,피에스케이,특수 목적용 기계 제조업,188200,5451535574800,1566.0,472.0,19.04,54.73,9.62,0.6064,
089970,브이엠,특수 목적용 기계 제조업,107600,2665466662000,889.0,301.0,30.38,55.29,13.69,0.8561,
095610,테스,특수 목적용 기계 제조업,183300,3548688000000,972.0,222.0,17.58,54.81,7.93,1.4925,
069960,현대백화점,종합 소매업,200500,4323764856000,9501.0,988.0,4.62,21.81,0.94,0.7665,
004170,신세계,종합 소매업,740000,6989433940000,18471.0,1978.0,1.71,93.18,1.35,0.6488,
034730,SK,기타 금융업,815000,59089702945000,367513.0,36731.0,9.29,22.65,1.52,0.7655,
005930,삼성전자,통신 및 방송 장비 제조업,339500,1984811587416000,1338734.0,572328.0,19.16,27.44,4.72,0.1796,
222800,심텍,전자부품 제조업,124800,4675498588800,4224.0,137.0,-22.7,-14.35,7.81,0.6772,
028260,삼성물산,기타 전문 도매업,494500,80191868804500,104658.0,7204.0,5.41,33.16,1.3,0.1595,
000660,SK하이닉스,반도체 제조업,2673000,1905053421645000,525763.0,376103.0,61.16,25.82,11.24,1.3158,
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",42600,216869272800,207.0,49.0,13.52,11.82,1.48,1.5258,
009150,삼성전기,전자부품 제조업,1993000,148864536128000,32091.0,2806.0,8.82,188.25,15.34,2.8996,
402340,SK스퀘어,기타 금융업,1720000,226968423920000,86314.0,82783.0,55.09,14.61,6.29,1.6265,
032830,삼성생명,보험업,432500,86500000000000,147194.0,13578.0,5.44,30.13,0.96,0.2243,
159010,아스플로,일반 목적용 기계 제조업,19100,254693514900,283.0,14.0,-13.21,-10.32,4.99,1.9699,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",223500,2472229381500,1507.0,420.0,18.82,34.32,5.81,0.2495,
