Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
161890,한국콜마,기타 화학제품 제조업,115800,2358147192300,7280.0,789.0,18.19,14.96,2.51,0.2441,
222040,코스맥스엔비티,기타 식품 제조업,8520,162961200000,933.0,103.0,-6.22,-21.38,2.67,0.7463,
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8630,210297467960,321.0,95.0,21.48,5.17,1.04,0.1621,
001450,현대해상,보험업,38550,3103036300000,47161.0,3245.0,21.87,3.12,0.51,0.0668,
383220,F&F,봉제의복 제조업,79900,2842384965000,5609.0,1535.0,28.82,5.55,1.41,0.0259,
219130,타이거일렉,전자부품 제조업,72500,519666067000,268.0,35.0,12.73,68.59,8.2,0.8049,
005430,한국공항,기타 운송관련 서비스업,81500,252675129000,1780.0,197.0,11.29,5.8,0.6,0.1874,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",250500,2837256538500,1507.0,420.0,18.82,39.69,6.71,0.6633,
170920,엘티씨,기초 화학물질 제조업,52300,552503789800,988.0,181.0,8.29,51.09,3.9,0.4919,
000810,삼성화재,보험업,639000,26967073692000,66763.0,8611.0,,14.49,1.06,0.1021,
095610,테스,특수 목적용 기계 제조업,186400,3279584000000,972.0,222.0,17.58,51.08,7.39,1.021,
319660,피에스케이,특수 목적용 기계 제조업,184600,4996758165000,1566.0,472.0,19.04,49.67,8.73,1.0617,
031980,피에스케이홀딩스,특수 목적용 기계 제조업,140100,2762142799500,280.0,92.0,20.41,28.76,5.42,0.0939,
041830,인바디,의료용 기기 제조업,51600,683480717400,684.0,130.0,13.29,17.17,2.07,0.5577,
005950,이수화학,기초 화학물질 제조업,13820,320525920110,6359.0,254.0,-2.28,-81.94,2.75,0.5113,
002990,금호건설,건물 건설업,13970,393837925180,4534.0,121.0,31.92,5.5,1.65,1.4425,
089970,브이엠,특수 목적용 기계 제조업,96400,2422062380000,889.0,301.0,30.38,47.79,11.84,0.8631,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9310,402845993280,1485.0,135.0,5.96,23.84,1.26,0.4186,
019210,와이지-원,기타 금속 가공제품 제조업,21300,786647347200,2078.0,388.0,10.85,16.9,1.71,0.2319,
000500,가온전선,절연선 및 케이블 제조업,247500,2875193387000,7636.0,278.0,11.96,93.0,10.35,2.9985,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",90000,1872953330600,1561.0,348.0,,25.04,3.33,0.482,
004430,송원산업,기타 화학제품 제조업,12130,282720000000,2692.0,266.0,2.03,18.31,0.37,0.0484,
069960,현대백화점,종합 소매업,157900,2952236452800,9501.0,988.0,4.62,14.84,0.64,0.6809,
