Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",113100,1704664712100,1561.0,348.1,5.71,23.08,3.07,1.1033,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
041830,인바디,의료용 기기 제조업,58600,661911306200,684.4,130.2,4.93,16.56,1.99,0.5339,정상
004170,신세계,종합 소매업,732000,5138178464000,18471.4,1978.2,2.14,68.5,1.02,0.8669,정상
069960,현대백화점,종합 소매업,186300,3010461715200,9500.6,987.8,1.03,15.19,0.65,0.9344,FCF 적자
000500,가온전선,절연선 및 케이블 제조업,280000,6461740719000,7636.0,278.0,11.96,115.92,12.9,3.3027,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",246000,2649212245500,1506.7,419.9,7.74,36.77,6.22,0.7279,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
483650,달바글로벌,기타 화학제품 제조업,227000,2998539600000,1712.4,450.9,15.67,32.32,12.86,0.0059,CB/BW 및 유상증자 이력
319660,피에스케이,특수 목적용 기계 제조업,183000,4547774098000,1565.9,471.8,7.24,45.65,8.02,0.8748,정상
009150,삼성전기,전자부품 제조업,1926000,108156471808000,32091.1,2805.7,2.5,136.77,11.15,2.6906,정상
170920,엘티씨,기초 화학물질 제조업,48650,490175446400,988.4,181.0,7.13,45.94,3.51,0.0886,CB/BW 및 유상증자 이력
095610,테스,특수 목적용 기계 제조업,177800,2983376000000,972.4,222.0,5.99,46.08,6.66,1.4352,CB/BW 및 유상증자 이력
089970,브이엠,특수 목적용 기계 제조업,99500,2148264024000,888.9,301.4,12.54,41.93,10.38,0.8674,CB/BW 및 유상증자 이력
122640,예스티,특수 목적용 기계 제조업,33000,532460065100,275.0,30.6,2.28,560.23,3.78,0.2092,CB/BW 및 유상증자 이력
023530,롯데쇼핑,종합 소매업,168500,3626618391000,35816.0,2528.8,0.84,22.17,0.24,0.1604,정상
159010,아스플로,일반 목적용 기계 제조업,18650,204021506700,283.0,13.8,2.42,-10.32,4.0,1.7047,정상
219130,타이거일렉,전자부품 제조업,64600,464100315000,268.0,35.0,12.73,63.42,7.58,0.8203,DART 데이터 미비
005950,이수화학,기초 화학물질 제조업,13550,390468409650,6358.6,254.3,5.32,-81.94,3.36,0.1996,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
002990,금호건설,건물 건설업,11730,421037706200,4534.0,121.2,4.64,5.73,1.72,0.9787,CB/BW 및 유상증자 이력
034730,SK,기타 금융업,683000,47489270465000,367512.6,36731.2,9.29,18.2,1.22,0.6525,FCF 적자
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",47900,212542069000,207.0,48.9,4.6,11.59,1.45,2.129,CB/BW 및 유상증자 이력
222800,심텍,전자부품 제조업,124700,3682704417300,4224.0,137.1,2.42,-14.35,6.15,0.9835,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
402340,SK스퀘어,기타 금융업,1525000,161121189306000,3003.5,82782.9,55.09,10.37,4.46,1.6242,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
222040,코스맥스엔비티,기타 식품 제조업,6660,161517240000,933.0,102.7,15.02,-21.38,2.64,0.1616,정상
