Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
000660,SK하이닉스,반도체 제조업,2764000,1706209461810000,525762.9,376102.8,24.54,23.43,10.2,1.1493,정상
019210,와이지-원,기타 금속 가공제품 제조업,22600,838718566400,2078.0,388.4,5.52,17.94,1.82,0.1335,"FCF 적자, CB/BW 및 유상증자 이력"
009150,삼성전기,전자부품 제조업,2270000,143187815232000,32091.1,2805.7,2.5,187.87,15.31,3.4968,정상
034730,SK,기타 금융업,724000,49809356961000,367512.6,36731.2,9.29,19.18,1.28,0.3875,FCF 적자
032830,삼성생명,보험업,497000,76600000000000,147194.0,13578.1,1.49,26.68,0.85,0.4719,정상
052710,아모텍,전자부품 제조업,31984,306863466000,609.8,5.7,0.33,51.35,1.9,0.71,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
402340,SK스퀘어,기타 금융업,1780000,207042707634000,3003.5,82782.9,55.09,13.49,5.81,1.3825,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
085620,미래에셋생명,보험업,34550,2804985000000,27964.0,683.9,2.21,25.28,0.93,0.368,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
159010,아스플로,일반 목적용 기계 제조업,22300,255360251850,283.0,13.8,2.42,-10.32,4.98,2.1976,정상
005930,삼성전자,통신 및 방송 장비 제조업,354000,1809423229176000,1338734.4,572328.0,9.7,25.02,4.3,0.087,정상
080220,제주반도체,반도체 제조업,114300,3123964953100,1805.0,671.1,25.58,27.83,10.1,0.9679,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
319660,피에스케이,특수 목적용 기계 제조업,165000,5208215177200,1565.9,471.8,7.24,53.01,9.31,0.2391,정상
069960,현대백화점,종합 소매업,194700,3845023809600,9500.6,987.8,1.03,19.52,0.84,0.5075,FCF 적자
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",85300,2140235254100,1561.0,348.1,5.71,29.12,3.87,0.0657,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
004170,신세계,종합 소매업,711000,6668297786000,18471.4,1978.2,2.14,88.89,1.29,0.4122,정상
222800,심텍,전자부품 제조업,124300,4829100705900,4224.0,137.1,2.42,-14.35,8.08,0.3752,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
095610,테스,특수 목적용 기계 제조업,166200,3413168000000,972.4,222.0,5.99,53.02,7.67,0.9522,CB/BW 및 유상증자 이력
089970,브이엠,특수 목적용 기계 제조업,88400,2524266290500,888.9,301.4,12.54,52.36,12.97,0.1846,CB/BW 및 유상증자 이력
001820,삼화콘덴서,전자부품 제조업,171500,1232847000000,729.0,47.0,1.87,90.65,4.44,1.3925,FCF 적자
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",244000,2842787253000,1506.7,419.9,7.74,38.54,6.52,0.2564,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",42100,239777998800,207.0,48.9,4.6,12.68,1.59,1.3933,CB/BW 및 유상증자 이력
031330,에스에이엠티,기계장비 및 관련 물품 도매업,16480,1102945589010,17953.8,3273.0,33.5,3.62,1.5,1.4632,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
219130,타이거일렉,전자부품 제조업,68500,414848853000,268.0,35.0,12.73,57.81,6.91,0.3342,DART 데이터 미비
004710,한솔테크닉스,전자부품 제조업,13080,400607037620,3160.0,141.1,2.33,-8.67,0.92,1.089,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
007810,코리아써키트,전자부품 제조업,119100,1897025242000,4199.0,264.4,3.56,30.82,4.5,0.1457,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
083450,GST,특수 목적용 기계 제조업,54500,903070000000,1158.9,201.9,5.54,16.58,2.86,0.1093,정상
353200,대덕전자,전자부품 제조업,156300,6295716245000,3463.1,513.0,4.95,67.57,7.27,0.1603,FCF 적자
036710,심텍홀딩스,회사 본부 및 경영 컨설팅 서비스업,4790,206556518140,4432.0,9.6,0.05,-6.96,13.75,0.0151,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
037460,삼지전자,통신 및 방송 장비 제조업,42850,549118265300,19044.0,3342.1,25.42,2.85,0.8,0.1258,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
093370,후성,기초 화학물질 제조업,16940,1525170792600,1414.5,92.6,-1.77,-164.82,4.53,0.7381,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
183300,코미코,특수 목적용 기계 제조업,105200,1600479649000,1570.6,204.5,4.5,33.4,5.68,0.0344,"FCF 적자, CB/BW 및 유상증자 이력"
417840,저스템,특수 목적용 기계 제조업,14280,276719510100,177.0,40.7,7.18,40.23,4.27,0.2564,"FCF 적자, CB/BW 및 유상증자 이력"
