Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
010950,S-Oil,석유 정제품 제조업,146700,16572186982400,89426.9,12310.8,7.54,18.15,1.78,0.1917,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
079940,가비아,소프트웨어 개발 및 공급업,44050,591181130200,850.0,107.3,2.38,34.07,3.19,0.3992,정상
078930,GS,기타 금융업,83200,7812511129500,68423.0,12585.7,4.17,5.98,0.52,0.0978,정상
086790,하나금융지주,기타 금융업,133400,36051922087200,290048.0,16536.0,2.65,9.19,0.79,0.0132,CB/BW 및 유상증자 이력
219130,타이거일렉,전자부품 제조업,79500,519666067000,268.0,35.0,12.73,68.59,8.2,0.916,DART 데이터 미비
415640,KB발해인프라,신탁업 및 집합투자업,10750,1325942829360,,,,,,0.0053,DART 데이터 미비
003650,미창석유,석유 정제품 제조업,142500,247207391200,1011.0,137.0,18.32,3.0,0.44,0.1027,DART 데이터 미비
252990,샘씨엔에스,전자부품 제조업,15500,927355490600,272.0,77.0,13.14,41.89,5.03,0.0896,DART 데이터 미비
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,8610,210297467960,321.5,94.7,6.53,5.17,1.04,0.2266,정상
003690,코리안리,재 보험업,13510,2366294605090,17737.0,2912.5,5.65,5.96,0.63,0.0129,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",130600,642208000000,425.0,88.7,3.07,30.04,3.06,0.0716,정상
161390,한국타이어앤테크놀로지,고무제품 제조업,70100,8646479816200,53139.3,5069.6,2.5,7.78,0.67,0.1081,FCF 적자
005430,한국공항,기타 운송관련 서비스업,82400,252675129000,1780.0,196.9,3.81,5.8,0.6,0.3467,FCF 적자
222040,코스맥스엔비티,기타 식품 제조업,7920,162961200000,933.0,102.7,15.02,-21.38,2.67,0.4974,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",258500,2837256538500,1506.7,419.9,7.74,39.69,6.71,0.5777,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
170920,엘티씨,기초 화학물질 제조업,51600,552503789800,988.4,181.0,7.13,51.09,3.9,0.4802,CB/BW 및 유상증자 이력
001450,현대해상,보험업,36700,3103036300000,47161.0,3244.9,4.23,3.12,0.51,0.1392,FCF 적자
007070,GS리테일,종합 소매업,25850,2144530194750,28548.8,582.7,1.3,27.1,0.66,0.0213,FCF 적자
052330,코텍,영상 및 음향기기 제조업,12050,209941981980,1168.3,154.3,3.84,6.01,0.41,0.0204,정상
161890,한국콜마,기타 화학제품 제조업,99500,2358147192300,7280.4,788.9,3.53,14.96,2.51,0.0696,정상
483650,달바글로벌,기타 화학제품 제조업,217000,2709172305000,1712.4,450.9,15.67,29.23,11.63,0.0083,CB/BW 및 유상증자 이력
041830,인바디,의료용 기기 제조업,50900,683480717400,684.4,130.2,4.93,17.17,2.07,0.6427,정상
319660,피에스케이,특수 목적용 기계 제조업,170800,4996758165000,1565.9,471.8,7.24,49.67,8.73,1.0064,정상
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9320,402845993280,1485.1,135.5,3.45,23.84,1.26,0.3732,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
019210,와이지-원,기타 금속 가공제품 제조업,21300,786647347200,2078.0,388.4,5.52,16.9,1.71,0.4683,"FCF 적자, CB/BW 및 유상증자 이력"
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",93400,1872953330600,1561.0,348.1,5.71,25.04,3.33,0.6089,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
095610,테스,특수 목적용 기계 제조업,170800,3279584000000,972.4,222.0,5.99,51.08,7.39,0.8174,CB/BW 및 유상증자 이력
089970,브이엠,특수 목적용 기계 제조업,93000,2422062380000,888.9,301.4,12.54,47.79,11.84,0.6169,CB/BW 및 유상증자 이력
