Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
010950,S-Oil,석유 정제품 제조업,144900,13791392020000,89426.9,12310.8,7.54,15.16,1.49,0.0712,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,9230,229570669780,321.5,94.7,6.53,5.65,1.14,0.2013,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",282500,2217816514500,1506.7,419.9,7.74,30.78,5.21,0.5637,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
161390,한국타이어앤테크놀로지,고무제품 제조업,73600,8386342171300,53139.3,5069.6,2.5,7.51,0.65,0.0729,FCF 적자
000810,삼성화재,보험업,701000,28440440301000,66763.0,8611.3,2.63,15.33,1.12,0.2963,정상
219130,타이거일렉,전자부품 제조업,78400,461574599000,268.0,35.0,12.73,63.07,7.54,0.8696,DART 데이터 미비
003650,미창석유,석유 정제품 제조업,143100,250512768000,1011.0,137.0,18.32,3.03,0.44,0.0215,DART 데이터 미비
005430,한국공항,기타 운송관련 서비스업,85700,290671389000,1780.0,196.9,3.81,6.46,0.67,0.2983,FCF 적자
170920,엘티씨,기초 화학물질 제조업,55000,407247057300,988.4,181.0,7.13,38.17,2.91,0.4186,CB/BW 및 유상증자 이력
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",133400,685640000000,425.0,88.7,3.07,32.31,3.29,0.0164,정상
001450,현대해상,보험업,38300,3128610775000,47161.0,3244.9,4.23,3.12,0.51,0.0958,FCF 적자
319660,피에스케이,특수 목적용 기계 제조업,195400,3699049377800,1565.9,471.8,7.24,37.13,6.52,1.1428,정상
383220,F&F,봉제의복 제조업,79000,2489959875000,5609.0,1534.8,9.97,4.85,1.23,0.0167,정상
161890,한국콜마,기타 화학제품 제조업,107600,2414799377100,7280.4,788.9,3.53,15.38,2.58,0.0755,정상
089970,브이엠,특수 목적용 기계 제조업,108300,1795485373000,888.9,301.4,12.54,35.05,8.68,0.8014,CB/BW 및 유상증자 이력
222040,코스맥스엔비티,기타 식품 제조업,7830,160279560000,933.0,102.7,15.02,-21.38,2.62,0.5915,정상
095610,테스,특수 목적용 기계 제조업,194300,2632960000000,972.4,222.0,5.99,40.67,5.88,1.0438,CB/BW 및 유상증자 이력
252990,샘씨엔에스,전자부품 제조업,14570,800897923700,272.0,77.0,13.14,35.95,4.31,0.0214,DART 데이터 미비
041830,인바디,의료용 기기 제조업,54200,764366009400,684.4,130.2,4.93,19.12,2.3,0.6763,정상
019210,와이지-원,기타 금속 가공제품 제조업,23100,702589521920,2078.0,388.4,5.52,14.99,1.52,0.449,"FCF 적자, CB/BW 및 유상증자 이력"
031980,피에스케이홀딩스,특수 목적용 기계 제조업,143400,2255426517000,279.8,91.7,3.93,23.46,4.42,0.0419,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",100800,1399765332700,1561.0,348.1,5.71,18.95,2.52,0.6854,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
144960,뉴파워프라즈마,특수 목적용 기계 제조업,9350,458335625760,1485.1,135.5,3.45,26.83,1.42,0.3153,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
160980,싸이맥스,특수 목적용 기계 제조업,37300,349575776000,405.2,47.3,2.04,26.21,1.8,0.0813,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
005950,이수화학,기초 화학물질 제조업,12930,348397739250,6358.6,254.3,5.32,-81.94,2.99,0.2568,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
069960,현대백화점,종합 소매업,157400,2374296811200,9500.6,987.8,1.03,11.98,0.51,0.5809,FCF 적자
